Country,"1990 - Population below $1 (PPP) per day, percentage","1991 - Population below $1 (PPP) per day, percentage","1992 - Population below $1 (PPP) per day, percentage","1993 - Population below $1 (PPP) per day, percentage","1994 - Population below $1 (PPP) per day, percentage","1995 - Population below $1 (PPP) per day, percentage","1996 - Population below $1 (PPP) per day, percentage","1997 - Population below $1 (PPP) per day, percentage","1998 - Population below $1 (PPP) per day, percentage","1999 - Population below $1 (PPP) per day, percentage","2000 - Population below $1 (PPP) per day, percentage","2001 - Population below $1 (PPP) per day, percentage","2002 - Population below $1 (PPP) per day, percentage","2003 - Population below $1 (PPP) per day, percentage","2004 - Population below $1 (PPP) per day, percentage","2005 - Population below $1 (PPP) per day, percentage","2006 - Population below $1 (PPP) per day, percentage","2007 - Population below $1 (PPP) per day, percentage","2008 - Population below $1 (PPP) per day, percentage","2009 - Population below $1 (PPP) per day, percentage","2010 - Population below $1 (PPP) per day, percentage","2011 - Population below $1 (PPP) per day, percentage","2012 - Population below $1 (PPP) per day, percentage","1990 - Poverty gap ratio at $1 a day (PPP), percentage","1991 - Poverty gap ratio at $1 a day (PPP), percentage","1992 - Poverty gap ratio at $1 a day (PPP), percentage","1993 - Poverty gap ratio at $1 a day (PPP), percentage","1994 - Poverty gap ratio at $1 a day (PPP), percentage","1995 - Poverty gap ratio at $1 a day (PPP), percentage","1996 - Poverty gap ratio at $1 a day (PPP), percentage","1997 - Poverty gap ratio at $1 a day (PPP), percentage","1998 - Poverty gap ratio at $1 a day (PPP), percentage","1999 - Poverty gap ratio at $1 a day (PPP), percentage","2000 - Poverty gap ratio at $1 a day (PPP), percentage","2001 - Poverty gap ratio at $1 a day (PPP), percentage","2002 - Poverty gap ratio at $1 a day (PPP), percentage","2003 - Poverty gap ratio at $1 a day (PPP), percentage","2004 - Poverty gap ratio at $1 a day (PPP), percentage","2005 - Poverty gap ratio at $1 a day (PPP), percentage","2006 - Poverty gap ratio at $1 a day (PPP), percentage","2007 - Poverty gap ratio at $1 a day (PPP), percentage","2008 - Poverty gap ratio at $1 a day (PPP), percentage","2009 - Poverty gap ratio at $1 a day (PPP), percentage","2010 - Poverty gap ratio at $1 a day (PPP), percentage","2011 - Poverty gap ratio at $1 a day (PPP), percentage","2012 - Poverty gap ratio at $1 a day (PPP), percentage","1990 - Poorest quintile's share in national income or consumption, percentage","1991 - Poorest quintile's share in national income or consumption, percentage","1992 - Poorest quintile's share in national income or consumption, percentage","1993 - Poorest quintile's share in national income or consumption, percentage","1994 - Poorest quintile's share in national income or consumption, percentage","1995 - Poorest quintile's share in national income or consumption, percentage","1996 - Poorest quintile's share in national income or consumption, percentage","1997 - Poorest quintile's share in national income or consumption, percentage","1998 - Poorest quintile's share in national income or consumption, percentage","1999 - Poorest quintile's share in national income or consumption, percentage","2000 - Poorest quintile's share in national income or consumption, percentage","2001 - Poorest quintile's share in national income or consumption, percentage","2002 - Poorest quintile's share in national income or consumption, percentage","2003 - Poorest quintile's share in national income or consumption, percentage","2004 - Poorest quintile's share in national income or consumption, percentage","2005 - Poorest quintile's share in national income or consumption, percentage","2006 - Poorest quintile's share in national income or consumption, percentage","2007 - Poorest quintile's share in national income or consumption, percentage","2008 - Poorest quintile's share in national income or consumption, percentage","2009 - Poorest quintile's share in national income or consumption, percentage","2010 - Poorest quintile's share in national income or consumption, percentage","2011 - Poorest quintile's share in national income or consumption, percentage","2012 - Poorest quintile's share in national income or consumption, percentage"
Albania,,,,,,,,0.2,,,,,0.6,,0.5,0.9,,,0.6,,,,,,,,,,,,,0,,,,,0.1,,0.1,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,9.4,,
Algeria,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,9.1,,8.2,7.8,,,8.1,,
Angola,,,,,,,,,,,54.3,,,,,,,,,43.4,,,,,,,,,,,,,,,29.9,,,,,,,,,16.5,,,,,,,,,,7,,,,,,,,,,,,,,,
Argentina,,0.6,1.8,2.1,1.9,3.9,4.3,3.8,4,4.2,5.1,8.3,12.6,9.8,6.3,4.6,3.7,2.7,1.9,2,0.9,,,,,0.2,1.1,1.2,1.4,2.2,2.8,2.2,2.1,2.4,2.8,4.6,5,4.6,2.9,2,1.7,1.5,1,1.2,0.7,,,,,,,,,,,,,,2,,,,,,,,,5.4,
Armenia,,,,,,,17.5,,,18,,19.8,15,10.6,7.4,4,3,3.5,1.3,,2.5,,,,,,,,,,4.7,,,4.1,,4.4,3.1,1.9,1.6,0.9,0.7,0.7,0.3,,0.5,,,,,5,4.6,4.5,4.5,3.9,3.5,3.9,3.5,3.5,3.2,2.7,2.8,2.7,3.2,3.4,3.6,3.9,3.9,3.9,
Azerbaijan,,,,,,16.3,,,,,,6.3,,,,,,,0.4,,,,,,,,,,,4.3,,,,,,1.1,,,,,,,0.1,,,,,,,,,,,,5.5,,,7.6,,7.6,7.9,8.6,7.5,8,8.5,8.6,8.8,,
Bangladesh,,,70.2,,,,60.9,,,,58.6,,,,,50.5,,,,,43.3,,,,,,23.8,,,,19.9,,,,18.6,,,,,14.2,,,,,11.2,,,,,,,,5.9,,,,,,,,,,,,,,,,
Belarus,,,,0,,0.4,,,0.9,,0.3,0.5,0.6,,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,,,,,,0,,0.3,,,0.4,,0.1,0.2,0.3,,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,0.1,,,,,,,,,,,,8.6,,,,,,,,,,
Belize,,,,9.1,8.9,14,9.7,12.5,11.3,12.2,,,,,,,,,,,,,,,,,,4.9,5.2,5.4,4.6,6.9,4.7,5.5,,,,,,,,,,,,,,,,,,,,6.9,,,,,,7.5,,,,,,,8,,
Benin,,,,,,,,,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,,,,9.6,,,,8.7,,,,8.7,,,,,8.8,,,,,
Bhutan,,,,,,,,,,,,,,26.2,,,,10.2,,,,,,,,,,,,,,,,,,,,7,,,,1.8,,,,,,,,,,11.1,,8.5,,,8.4,,8.5,8.2,8.4,,9.4,8.8,8.6,8.8,9.2,9.1,
Bolivia,,5.2,,8.5,,,,17.2,,23.3,26.9,21.4,22,,,18.2,16.2,13.1,15.6,,,,,,,0.7,,3.5,,,,9.1,,14.1,17.8,12.1,12.9,,,9.7,8.4,6.6,8.6,,,,,,,,,,,,,,,,8.5,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,0.1,,,0.1,,,0,,,,,,,,,,,,,,,,,,0.1,,,0.1,,,0,,,,,,,,,,3,2.9,2.1,3.5,3,3.4,3.3,,,,,,,,,,,
Botswana,,,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
